"Time (s)","Acceleration (m/s²)"
0.000000000E0,7.027462123E-2
4.994500000E-2,8.209135649E-2
9.989000000E-2,6.947786622E-2
1.498280000E-1,8.062334448E-2
1.997730000E-1,7.736795559E-2
2.496890000E-1,7.511168043E-2
2.996570000E-1,7.736226277E-2
3.496020000E-1,7.722251432E-2
3.995430000E-1,7.542516520E-2
4.494860000E-1,7.246056108E-2
4.994280000E-1,7.336237989E-2
5.493730000E-1,7.188883586E-2
5.993150000E-1,5.984612247E-2
6.492610000E-1,6.718272993E-2
6.991840000E-1,6.808694427E-2
7.491440000E-1,8.146698349E-2
7.990900000E-1,5.129499304E-2
8.490260000E-1,6.866892221E-2
8.989730000E-1,5.857401137E-2
9.489200000E-1,6.928552298E-2
9.988370000E-1,7.528677074E-2
1.048801000E0,5.544669660E-2
1.098734000E0,7.253051388E-2
1.148690000E0,6.351657870E-2
1.198623000E0,5.630753922E-2
1.248578000E0,6.780483896E-2
1.298519000E0,5.538091451E-2
1.348462000E0,6.904154151E-2
1.398407000E0,5.782547001E-2
1.448330000E0,7.060686307E-2
1.498292000E0,4.766587708E-2
1.548237000E0,7.171082012E-2
1.598180000E0,5.353986704E-2
1.648121000E0,5.701030328E-2
1.698066000E0,7.098674205E-2
1.748009000E0,5.641263104E-2
1.797927000E0,7.659281488E-2
1.847895000E0,5.833648011E-2
1.897839000E0,5.492701114E-2
1.947769000E0,5.350958440E-2
1.997719000E0,5.856163720E-2
2.047663000E0,6.653754084E-2
2.097610000E0,5.533396776E-2
2.147527000E0,6.829022364E-2
2.197475000E0,6.281340169E-2
2.247441000E0,6.246210097E-2
2.297387000E0,6.144055676E-2
2.347298000E0,6.897604996E-2
2.397262000E0,6.565488354E-2
2.447213000E0,4.224074726E-2
2.497158000E0,6.357937963E-2
2.547083000E0,6.062806331E-2
2.597046000E0,5.797501529E-2
2.646988000E0,5.614112655E-2
2.696930000E0,6.931500391E-2
2.746876000E0,6.285839875E-2
2.796810000E0,7.956157052E-2
2.846760000E0,7.045621687E-2
2.896706000E0,6.063954304E-2
2.946649000E0,6.187224299E-2
2.996566000E0,6.899506894E-2
3.046517000E0,6.626271623E-2
3.096479000E0,6.307424689E-2
3.146402000E0,7.383866210E-2
3.196366000E0,5.514677189E-2
3.246300000E0,5.831396741E-2
3.296250000E0,6.347282783E-2
3.346197000E0,3.924450422E-2
3.396120000E0,8.532137121E-2
3.446082000E0,4.821490733E-2
3.496027000E0,5.870731144E-2
3.545964000E0,8.489872715E-2
3.595911000E0,3.992333901E-2
3.645849000E0,7.147400241E-2
3.695797000E0,6.104110788E-2
3.745742000E0,6.787388681E-2
3.795686000E0,5.730352561E-2
3.845625000E0,4.952044395E-2
3.895553000E0,5.151866731E-2
3.945515000E0,9.476757916E-2
3.995459000E0,3.848318915E-2
4.045403000E0,6.931619071E-2
4.095349000E0,6.646654834E-2
4.145267000E0,4.018327378E-2
4.195232000E0,4.619319552E-2
4.245179000E0,8.642681793E-2
4.295101000E0,4.422209729E-2
4.345063000E0,5.572011423E-2
4.395009000E0,4.532794647E-2
4.444952000E0,5.515062740E-2
4.494894000E0,5.063895418E-2
4.544841000E0,1.162764158E-1
4.594782000E0,6.157983493E-2
4.644699000E0,8.224163633E-2
4.694649000E0,6.202652908E-2
4.744613000E0,5.093716811E-2
4.794431083E0,1.080520731E-1
4.844368083E0,5.528377261E-2
4.894319083E0,9.537694628E-2
4.944242083E0,5.063503015E-2
4.994213083E0,4.775459122E-2
5.044124083E0,8.469517507E-2
5.094071083E0,5.681185928E-2
5.144015083E0,6.854529334E-2
5.193965083E0,7.503906989E-2
5.243910083E0,2.870077640E-2
5.293861083E0,9.622747907E-2
5.343813083E0,6.616916626E-2
5.393752083E0,6.282752751E-2
5.443703083E0,5.280455866E-2
5.493629083E0,9.362700848E-2
5.543563083E0,8.203968264E-2
5.593513083E0,6.091255547E-2
5.643474083E0,6.947989996E-2
5.693416083E0,5.526308580E-2
5.743363083E0,6.086073178E-2
5.793276083E0,7.870079550E-2
5.843246083E0,6.534970045E-2
5.893193083E0,8.336576171E-2
5.943136083E0,6.731134035E-2
5.993078083E0,7.101818545E-2
6.042996083E0,4.394796840E-2
6.092966083E0,3.504124375E-2
6.142897083E0,9.057850870E-2
6.192848083E0,6.789573118E-2
6.242777083E0,5.503217126E-2
6.292740083E0,9.927863020E-2
6.342686083E0,5.328839520E-2
6.392629083E0,6.127181103E-2
6.442561083E0,8.152760998E-2
6.492516083E0,6.611566149E-2
6.542445083E0,8.076406138E-2
6.592401083E0,5.280619542E-2
6.642347083E0,6.679220810E-2
6.692289083E0,8.843456678E-2
6.742201083E0,5.548661481E-2
6.792152083E0,6.556094163E-2
6.842120083E0,6.526379344E-2
6.892043083E0,7.392304564E-2
6.942009083E0,6.433913942E-2
6.991952083E0,6.757535493E-2
7.041894083E0,6.730438308E-2
7.091840083E0,7.388665678E-2
7.141780083E0,6.978714739E-2
7.191726083E0,6.952165091E-2
7.241671083E0,6.562443782E-2
7.291614083E0,6.762446332E-2
7.341554083E0,7.139752814E-2
7.391495083E0,7.356615627E-2
7.441444083E0,5.778671119E-2
7.491377083E0,8.395242382E-2
7.541329083E0,1.899103120E-1
7.591276083E0,1.747296405E-1
7.641188083E0,1.146286051E-2
7.691151083E0,8.583268098E-2
7.741084083E0,5.776383761E-2
7.791026083E0,5.916316768E-2
7.840979083E0,2.723773361E-2
7.890938083E0,-2.004662167E-2
7.940879083E0,1.536101079E-2
7.990825083E0,1.043348309E-1
8.040768083E0,7.799397448E-3
8.090682083E0,-1.259924444E-1
8.140632083E0,-1.742914945E-1
8.190600083E0,-2.225451703E-1
8.240523083E0,-2.776181795E-1
8.290489083E0,-3.460543826E-1
8.340427083E0,-3.915710242E-1
8.390374083E0,-4.050488635E-1
8.440320083E0,-4.052617095E-1
8.490249083E0,-4.706340410E-1
8.540204083E0,-5.111333184E-1
8.590151083E0,-5.166750755E-1
8.640083083E0,-5.845413029E-1
8.690016083E0,-6.374503527E-1
8.739967083E0,-6.642495600E-1
8.789923083E0,-7.095057958E-1
8.839852083E0,-7.501580510E-1
8.889813083E0,-7.753645352E-1
8.939756083E0,-7.967230107E-1
8.989697083E0,-7.936617594E-1
9.039645083E0,-7.871766564E-1
9.089564083E0,-7.806001467E-1
9.139529083E0,-7.602159051E-1
9.189476083E0,-7.010825308E-1
9.239398083E0,-6.789491385E-1
9.289360083E0,-6.425692391E-1
9.339304083E0,-5.901821484E-1
9.389226083E0,-4.942767093E-1
9.439162083E0,-4.567845160E-1
9.489112083E0,-4.158972758E-1
9.539058083E0,-3.833062626E-1
9.589015083E0,-3.282009548E-1
9.638969083E0,-2.879976451E-1
9.688900083E0,-2.259767951E-1
9.738854083E0,-2.092032604E-1
9.788662333E0,-1.731049026E-1
9.838586333E0,-1.191948150E-1
9.888548333E0,-9.974835622E-2
9.938494333E0,-4.673752150E-2
9.988436333E0,-3.779559213E-2
1.003835933E1,2.133881624E-3
1.008830933E1,6.700046856E-2
1.013826733E1,6.874573270E-2
1.018819533E1,1.037492651E-1
1.023814033E1,1.163427022E-1
1.028810033E1,1.120584180E-1
1.033803033E1,9.241212335E-2
1.038797833E1,7.692330681E-2
1.043793033E1,7.836809898E-2
1.048785233E1,8.829146166E-2
1.053780333E1,6.618594091E-2
1.058774833E1,5.956869584E-2
1.063769333E1,8.651342936E-2
1.068765133E1,6.076322764E-2
1.073759333E1,8.182965156E-2
1.078753633E1,6.617346396E-2
1.083748033E1,4.831302498E-2
1.088742533E1,6.738672192E-2
1.093736133E1,6.044504454E-2
1.098730433E1,6.683138718E-2
1.103725733E1,5.993941662E-2
1.108719133E1,8.195562343E-2
1.113713733E1,5.841324674E-2
1.118708833E1,5.683491056E-2
1.123702933E1,8.195676272E-2
1.128697733E1,8.105967285E-2
1.133689333E1,5.359755485E-2
1.138686233E1,5.428753178E-2
1.143680933E1,5.285667334E-2
1.148675033E1,9.521946112E-2
1.153669333E1,6.445381063E-2
1.158664033E1,6.973193049E-2
1.163658233E1,7.527626676E-2
1.168652533E1,5.103812075E-2
1.173646933E1,1.107308050E-1
1.178639933E1,5.435299158E-2
1.183633233E1,6.238255600E-2
1.188628433E1,7.126743673E-2
1.193624533E1,7.483953823E-2
1.198617433E1,7.761405119E-2
1.203613433E1,7.116903448E-2
1.208607533E1,6.475187930E-2
1.213602033E1,7.169987121E-2
1.218596633E1,5.146670430E-2
1.223588033E1,8.023322739E-2
1.228585133E1,7.502999940E-2
1.233579733E1,6.940598933E-2
1.238572233E1,6.916052139E-2
1.243564833E1,5.589325211E-2
1.248563033E1,6.566627739E-2
1.253557033E1,8.123814266E-2
1.258548833E1,7.160630845E-2
1.263545933E1,7.272096180E-2
